Id,GifURL,StyleString,Name
1,/Images/MarineGifs/shark.gif,height: 300px,Shark
2,/Images/MarineGifs/Starfish.gif,width: 250px,Starfish
3,/Images/MarineGifs/Fish.gif,height: 250px,Fish
4,/Images/MarineGifs/Turtle.gif,width: 300px,Turtle
5,/Images/MarineGifs/Octopus.gif,width: 250px,Octopus
6,/Images/MarineGifs/sea-horse.gif,height: 250px,Sea Horse
7,/Images/MarineGifs/dolphin2.gif,width: 300px,Dolphin
8,/Images/MarineGifs/clam.gif,width: 300px,Clam
9,/Images/MarineGifs/Whale.gif,width: 250px,Whale
10,/Images/MarineGifs/teagif-cute.gif,width: 250px,Jellyfish